codigo_uf;Regiao;uf;nome;latitude;longitude;sexo;nascidos_2018;un_domesticas_sexo_resp_2018
11;NORTE;RO;Rondônia;-10,83;-63,34;Homens;14377;379
12;NORTE;AC;Acre;-8,77;-70,55;Homens;8188;140
13;NORTE;AM;Amazonas;-3,47;-65,1;Homens;36858;593
14;NORTE;RR;Roraima;1,99;-61,33;Homens;5833;80
15;NORTE;PA;Pará;-3,79;-52,48;Homens;66550;1410
16;NORTE;AP;Amapá;1,41;-51,77;Homens;7698;106
17;NORTE;TO;Tocantins;-9,46;-48,26;Homens;12923;299
21;NORDESTE;MA;Maranhão;-5,42;-45,44;Homens;58236;1059
22;NORDESTE;PI;Piauí;-6,6;-42,28;Homens;24418;559
23;NORDESTE;CE;Ceará;-5,2;-39,53;Homens;66709;1581
24;NORDESTE;RN;Rio Grande do Norte;-5,81;-36,59;Homens;24475;572
25;NORDESTE;PB;Paraíba;-7,28;-36,72;Homens;30088;686
26;NORDESTE;PE;Pernambuco;-8,38;-37,86;Homens;68114;1686
27;NORDESTE;AL;Alagoas;-9,62;-36,82;Homens;26717;580
28;NORDESTE;SE;Sergipe;-10,57;-37,45;Homens;17137;395
29;NORDESTE;BA;Bahia;-13,29;-41,71;Homens;103544;2722
31;SUDESTE;MG;Minas Gerais;-18,1;-44,38;Homens;134580;4208
32;SUDESTE;ES;Espírito Santo;-19,19;-40,34;Homens;29146;801
33;SUDESTE;RJ;Rio de Janeiro;-22,25;-42,66;Homens;109615;3327
35;SUDESTE;SP;São Paulo;-22,19;-48,79;Homens;310126;8631
41;SUL;PR;Paraná;-24,89;-51,55;Homens;80174;2141
42;SUL;SC;Santa Catarina;-27,45;-50,95;Homens;51412;1417
43;SUL;RS;Rio Grande do Sul;-30,17;-53,5;Homens;71315;2318
50;CENTRO OESTE;MS;Mato Grosso do Sul;-20,51;-54,54;Homens;22459;532
51;CENTRO OESTE;MT;Mato Grosso;-12,64;-55,42;Homens;29592;627
52;CENTRO OESTE;GO;Goiás;-15,98;-49,86;Homens;50087;1462
53;CENTRO OESTE;DF;Distrito Federal;-15,83;-47,86;Homens;22313;535
11;;RO;Rondônia;-10,83;-63,34;Mulheres;13465;203
12;;AC;Acre;-8,77;-70,55;Mulheres;7578;122
13;;AM;Amazonas;-3,47;-65,1;Mulheres;34951;500
14;;RR;Roraima;1,99;-61,33;Mulheres;5469;74
15;;PA;Pará;-3,79;-52,48;Mulheres;63152;1040
16;;AP;Amapá;1,41;-51,77;Mulheres;7275;108
17;;TO;Tocantins;-9,46;-48,26;Mulheres;12084;219
21;;MA;Maranhão;-5,42;-45,44;Mulheres;55337;978
22;;PI;Piauí;-6,6;-42,28;Mulheres;23534;453
23;;CE;Ceará;-5,2;-39,53;Mulheres;62816;1405
24;;RN;Rio Grande do Norte;-5,81;-36,59;Mulheres;23269;530
25;;PB;Paraíba;-7,28;-36,72;Mulheres;28885;604
26;;PE;Pernambuco;-8,38;-37,86;Mulheres;64937;1490
27;;AL;Alagoas;-9,62;-36,82;Mulheres;25011;519
28;;SE;Sergipe;-10,57;-37,45;Mulheres;16324;365
29;;BA;Bahia;-13,29;-41,71;Mulheres;99120;2300
31;;MG;Minas Gerais;-18,1;-44,38;Mulheres;128856;3122
32;;ES;Espírito Santo;-19,19;-40,34;Mulheres;27550;598
33;;RJ;Rio de Janeiro;-22,25;-42,66;Mulheres;105580;3058
35;;SP;São Paulo;-22,19;-48,79;Mulheres;295220;7278
41;;PR;Paraná;-24,89;-51,55;Mulheres;75959;1829
42;;SC;Santa Catarina;-27,45;-50,95;Mulheres;48247;1128
43;;RS;Rio Grande do Sul;-30,17;-53,5;Mulheres;68119;1908
50;;MS;Mato Grosso do Sul;-20,51;-54,54;Mulheres;21613;389
51;;MT;Mato Grosso;-12,64;-55,42;Mulheres;28055;532
52;;GO;Goiás;-15,98;-49,86;Mulheres;48040;939
53;;DF;Distrito Federal;-15,83;-47,86;Mulheres;21704;480
